date,rank,song,artist
1994-01-17,1,"All for Love""†","Bryan Adams, Rod Stewart and Sting"
1994-01-24,1,"All for Love""†","Bryan Adams, Rod Stewart and Sting"
1994-01-31,1,"All for Love""†","Bryan Adams, Rod Stewart and Sting"
1994-02-07,1,"All for Love""†","Bryan Adams, Rod Stewart and Sting"
1994-02-14,1,"All for Love""†","Bryan Adams, Rod Stewart and Sting"
1994-02-21,1,The Power of Love,Celine Dion
1994-02-28,1,The Power of Love,Celine Dion
1994-03-07,1,Streets of Philadelphia,Bruce Springsteen
1994-03-14,1,Mr. Jones,Counting Crows
1994-03-21,1,The Sign,Ace of Base
1994-03-28,1,The Sign,Ace of Base
1994-04-04,1,The Sign,Ace of Base
1994-04-11,1,The Sign,Ace of Base
1994-04-18,1,The Sign,Ace of Base
1994-04-25,1,Love Sneakin' Up On You,Bonnie Raitt
1994-05-02,1,Love Sneakin' Up On You,Bonnie Raitt
1994-05-09,1,Love Sneakin' Up On You,Bonnie Raitt
1994-05-16,1,I'll Remember,Madonna
1994-05-23,1,I'll Remember,Madonna
1994-05-30,1,I'll Remember,Madonna
1994-06-06,1,I'll Remember,Madonna
1994-06-13,1,I'll Remember,Madonna
1994-06-20,1,I Swear,All-4-One
1994-06-27,1,I Swear,All-4-One
1994-07-04,1,I Swear,All-4-One
1994-07-11,1,Don't Turn Around,Ace of Base
1994-07-18,1,Wild Night,John Mellencamp and Meshell Ndegeocello
1994-07-25,1,Wild Night,John Mellencamp and Meshell Ndegeocello
1994-08-01,1,Wild Night,John Mellencamp and Meshell Ndegeocello
1994-08-08,1,Can You Feel the Love Tonight,Elton John
1994-08-15,1,Can You Feel the Love Tonight,Elton John
1994-08-22,1,Can You Feel the Love Tonight,Elton John
1994-08-29,1,Can You Feel the Love Tonight,Elton John
1994-09-05,1,Stay,Lisa Loeb and Nine Stories
1994-09-12,1,Stay,Lisa Loeb and Nine Stories
1994-09-19,1,You Better Wait,Steve Perry
1994-09-26,1,I'll Make Love to You,Boyz II Men
1994-10-03,1,I'll Make Love to You,Boyz II Men
1994-10-10,1,All I Wanna Do,Sheryl Crow
1994-10-17,1,All I Wanna Do,Sheryl Crow
1994-10-24,1,All I Wanna Do,Sheryl Crow
1994-10-31,1,All I Wanna Do,Sheryl Crow
1994-11-07,1,I'll Make Love to You,Boyz II Men
1994-11-14,1,Secret,Madonna
1994-11-21,1,Secret,Madonna
1994-11-28,1,Secret,Madonna
1994-12-05,1,Always,Bon Jovi
1994-12-12,1,Always,Bon Jovi
1994-12-19,1,Always,Bon Jovi
1994-12-26,1,Always,Bon Jovi
1995-01-02,1,Always,Bon Jovi
1995-01-09,1,On Bended Knee,Boyz II Men
1995-01-16,1,On Bended Knee,Boyz II Men
1995-01-23,1,On Bended Knee,Boyz II Men
1995-01-30,1,Insensitive,Jann Arden
1995-02-06,1,Insensitive,Jann Arden
1995-02-13,1,Insensitive,Jann Arden
1995-02-20,1,Bang and Blame,R.E.M.
1995-02-27,1,Bang and Blame,R.E.M.
1995-03-06,1,Take a Bow,Madonna
1995-03-13,1,Take a Bow,Madonna
1995-03-20,1,Strong Enough,Sheryl Crow
1995-03-27,1,Strong Enough,Sheryl Crow
1995-04-03,1,Strong Enough,Sheryl Crow
1995-04-10,1,I Know,Dionne Farris
1995-04-17,1,Believe,Elton John
1995-04-24,1,Believe,Elton John
1995-05-01,1,Believe,Elton John
1995-05-08,1,Believe,Elton John
1995-05-15,1,No More 'I Love You's,Annie Lennox
1995-05-22,1,No More 'I Love You's,Annie Lennox
1995-05-29,1,Have You Ever Really Loved a Woman?,Bryan Adams
1995-06-05,1,Have You Ever Really Loved a Woman?,Bryan Adams
1995-06-11,1,More Human than Human,White Zombie
1995-06-12,1,Have You Ever Really Loved a Woman?,Bryan Adams
1995-06-19,1,Misery,Soul Asylum
1995-06-19,1,Have You Ever Really Loved a Woman?,Bryan Adams
1995-06-26,1,Have You Ever Really Loved a Woman?,Bryan Adams
1995-06-26,1,Misery,Soul Asylum
1995-07-03,1,Leave Virginia Alone,Rod Stewart
1995-07-03,1,Misery,Soul Asylum
1995-07-10,1,Leave Virginia Alone,Rod Stewart
1995-07-10,1,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
1995-07-17,1,"I'll Be There for You""†",The Rembrandts
1995-07-17,1,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
1995-07-24,1,This Is a Call,Foo Fighters
1995-07-24,1,"I'll Be There for You""†",The Rembrandts
1995-07-31,1,"I'll Be There for You""†",The Rembrandts
1995-07-31,1,This Is a Call,Foo Fighters
1995-08-07,1,"I'll Be There for You""†",The Rembrandts
1995-08-07,1,This Is a Call,Foo Fighters
1995-08-14,1,"I'll Be There for You""†",The Rembrandts
1995-08-14,1,This Is a Call,Foo Fighters
1995-08-21,1,Tomorrow,Silverchair
1995-08-21,1,Only Wanna Be with You,Hootie & the Blowfish
1995-08-28,1,Tomorrow,Silverchair
1995-08-28,1,Only Wanna Be with You,Hootie & the Blowfish
1995-09-04,1,Tomorrow,Silverchair
1995-09-04,1,I Wish You Well,Tom Cochrane
1995-09-11,1,I Wish You Well,Tom Cochrane
1995-09-11,1,J.A.R.,Green Day
1995-09-18,1,Comedown,Bush X
1995-09-18,1,Only Wanna Be with You,Hootie & the Blowfish
1995-09-25,1,Comedown,Bush X
1995-09-25,1,Til I Hear It from You,Gin Blossoms
1995-10-02,1,Til I Hear It from You,Gin Blossoms
1995-10-02,1,Lump,The Presidents of the United States of America
1995-10-09,1,Name,Goo Goo Dolls
1995-10-09,1,Til I Hear It from You,Gin Blossoms
1995-10-16,1,Til I Hear It from You,Gin Blossoms
1995-10-16,1,Geek Stink Breath,Green Day
1995-10-23,1,Til I Hear It from You,Gin Blossoms
1995-10-23,1,Geek Stink Breath,Green Day
1995-10-30,1,Til I Hear It from You,Gin Blossoms
1995-10-30,1,Geek Stink Breath,Green Day
1995-11-06,1,Back for Good,Take That
1995-11-06,1,Bullet with Butterfly Wings,The Smashing Pumpkins
1995-11-13,1,Back for Good,Take That
1995-11-13,1,Bullet with Butterfly Wings,The Smashing Pumpkins
1995-11-20,1,Fantasy,Mariah Carey
1995-11-20,1,Bullet with Butterfly Wings,The Smashing Pumpkins
