date,rank,song,artist
1957-06-29,1,Love Letters In The Sand,Pat Boone
1957-07-06,1,Love Letters In The Sand,Pat Boone
1957-07-13,1,Teddy Bear,Elvis Presley
1957-07-20,1,Teddy Bear,Elvis Presley
1957-07-27,1,Teddy Bear,Elvis Presley
1957-08-03,1,Teddy Bear,Elvis Presley
1957-08-10,1,Teddy Bear,Elvis Presley
1957-08-17,1,Teddy Bear,Elvis Presley
1957-08-24,1,Teddy Bear,Elvis Presley
1957-08-31,1,Tammy,Debbie Reynolds
1957-09-07,1,Tammy,Debbie Reynolds
1957-09-14,1,Tammy,Debbie Reynolds
1957-09-14,1,Diana,Paul Anka
1957-09-28,1,That'll Be The Day,The Crickets
1957-10-05,1,Honeycomb,Jimmie Rodgers
1957-10-12,1,Honeycomb,Jimmie Rodgers
1957-10-19,1,Wake Up Little Susie,The Everly Brothers
1957-10-26,1,Jailhouse Rock,Elvis Presley
1957-11-02,1,Jailhouse Rock,Elvis Presley
1957-11-09,1,Jailhouse Rock,Elvis Presley
1957-11-16,1,Jailhouse Rock,Elvis Presley
1957-11-23,1,Jailhouse Rock,Elvis Presley
1957-11-30,1,Jailhouse Rock,Elvis Presley
1957-12-07,1,Jailhouse Rock,Elvis Presley
1957-12-07,1,You Send Me,Sam Cooke
1957-12-14,1,You Send Me,Sam Cooke
1957-12-28,1,April Love,Pat Boone
1958-01-04,1,April Love,Pat Boone
1958-01-11,1,At The Hop,Danny & the Juniors
1958-01-18,1,At The Hop,Danny & the Juniors
1958-01-25,1,At The Hop,Danny & the Juniors
1958-02-01,1,At The Hop,Danny & the Juniors
1958-02-08,1,At The Hop,Danny & the Juniors
1958-02-15,1,Don't,Elvis Presley
1958-02-22,1,Don't,Elvis Presley
1958-03-01,1,Don't,Elvis Presley
1958-03-08,1,Don't,Elvis Presley
1958-03-15,1,Don't,Elvis Presley
1958-03-22,1,Tequila,The Champs
1958-03-29,1,Tequila,The Champs
1958-04-05,1,Tequila,The Champs
1958-04-12,1,Tequila,The Champs
1958-04-19,1,Tequila,The Champs
