date,rank,song,artist
2021-04-02,1,Hepsi Geçiyor,Oğuzhan Koç
2021-04-09,1,Hepsi Geçiyor,Oğuzhan Koç
2021-04-16,1,Seni Soruyorlar,Ersay Üner
2021-04-23,1,Martılar,Edis
2021-04-30,1,Martılar,Edis
2021-05-07,1,Martılar,Edis
2021-05-13,1,Martılar,Edis
2021-05-21,1,Martılar,Edis
2021-05-28,1,Martılar,Edis
2021-06-04,1,Benim O,Tuğba Yurt
2021-06-11,1,Martılar,Edis
2021-06-18,1,Benim O,Tuğba Yurt
2021-06-25,1,Benim O,Tuğba Yurt
2021-07-02,1,Benim O,Tuğba Yurt
2021-07-09,1,Kanunlar Gibi,Derya Uluğ
2021-07-16,1,Kanunlar Gibi,Derya Uluğ
2021-07-23,1,Kanunlar Gibi,Derya Uluğ
2021-07-30,1,Kanunlar Gibi,Derya Uluğ
2021-08-06,1,Kanunlar Gibi,Derya Uluğ
2021-08-13,1,Kanunlar Gibi,Derya Uluğ
2021-08-20,1,Kanunlar Gibi,Derya Uluğ
2021-08-27,1,Kanunlar Gibi,Derya Uluğ
2021-09-03,1,Kanunlar Gibi,Derya Uluğ
2021-09-10,1,Kanunlar Gibi,Derya Uluğ
2021-09-17,1,Kanunlar Gibi,Derya Uluğ
2021-09-24,1,Hay Hay,Hadise
2021-10-01,1,Yoksa Yasak,Oğuzhan Koç feat. Arem Özgüç & Arman Aydın
2021-10-08,1,Yoksa Yasak,Oğuzhan Koç feat. Arem Özgüç & Arman Aydın
2021-10-15,1,Affet Beni Sevgilim,Ege Balkız feat. Burry Soprano
2021-10-22,1,Hayatım Kaymış,Melek Mosso
2021-10-29,1,Hayatım Kaymış,Melek Mosso
2021-11-05,1,Hayatım Kaymış,Melek Mosso
2021-11-12,1,Hayatım Kaymış,Melek Mosso
2021-11-19,1,Hayatım Kaymış,Melek Mosso
2021-11-26,1,Arıyorum,Edis
2021-12-03,1,Hayatım Kaymış,Melek Mosso
2021-12-10,1,Hayatım Kaymış,Melek Mosso
2021-12-17,1,Hayatım Kaymış,Melek Mosso
2021-12-24,1,Arıyorum,Edis
2022-01-03,1,Arıyorum,Edis
2022-01-07,1,Arıyorum,Edis
2022-01-14,1,Arıyorum,Edis
2022-01-21,1,Arıyorum,Edis
2022-01-28,1,Arıyorum,Edis
2022-02-04,1,Arıyorum,Edis
2022-02-11,1,Bu Saatten Sonra,İkilem
2022-02-18,1,Bu Saatten Sonra,İkilem
2022-02-25,1,Bu Saatten Sonra,İkilem
