date,rank,song,artist
1953-03-06,1,She Wears Red Feathers,Guy Mitchell
1953-03-06,1,Broken Wings,The Stargazers
1953-03-13,1,She Wears Red Feathers,Guy Mitchell
1953-03-13,1,That Doggie in the Window?,Lita Roza
1953-03-20,1,She Wears Red Feathers,Guy Mitchell
1953-03-20,1,All the Time and Everywhere,Dickie Valentine
1953-03-27,1,She Wears Red Feathers,Guy Mitchell
1953-03-27,1,That Doggie in the Window?,Patti Page
1953-04-03,1,She Wears Red Feathers,Guy Mitchell
1953-04-03,1,Oh Happy Day,The Johnston Brothers
1953-04-03,1,Little Red Monkey,Frank Chacksfield's Tunesmiths
1953-04-03,1,That Doggie in the Window?,Patti Page
1953-04-10,1,Broken Wings,The Stargazers
1953-04-10,1,I Believe,Frankie Laine
1953-04-10,1,Oh Happy Day,The Johnston Brothers
1953-04-10,1,Somebody Stole My Gal,Johnnie Ray
1953-04-17,1,That Doggie in the Window?,Lita Roza
1953-04-17,1,Somebody Stole My Gal,Johnnie Ray
1953-04-17,1,I Believe,Frankie Laine
1953-04-24,1,"I Believe"" †",Frankie Laine
1953-04-24,1,I Believe,Frankie Laine
1953-04-24,1,Pretty Little Black Eyed Susie,Guy Mitchell
1953-04-24,1,Side by Side,Kay Starr
1953-04-24,1,Pretend,Nat King Cole
1953-05-01,1,I Believe,Frankie Laine
1953-05-01,1,Pretend,Nat King Cole
1953-05-01,1,Downhearted,Eddie Fisher
1953-05-01,1,"I Believe"" †",Frankie Laine
1953-05-08,1,"I Believe"" †",Frankie Laine
1953-05-08,1,Pretend,Nat King Cole
1953-05-08,1,In a Golden Coach,Billy Cotton & His Band
1953-05-08,1,Tell Me a Story,Jimmy Boyd & Frankie Laine
1953-05-08,1,Downhearted,Eddie Fisher
1953-05-08,1,I Believe,Frankie Laine
1953-05-15,1,"I Believe"" †",Frankie Laine
1953-05-15,1,Pretend,Nat King Cole
1953-05-15,1,I Believe,Frankie Laine
1953-05-15,1,Tell Me a Story,Jimmy Boyd & Frankie Laine
1953-05-22,1,"I Believe"" †",Frankie Laine
1953-05-22,1,I Believe,Frankie Laine
1953-05-22,1,Terry's Theme from Limelight,Frank Chacksfield
1953-05-22,1,"Hold Me, Thrill Me, Kiss Me",Muriel Smith
1953-05-22,1,I'm Walking Behind You,Eddie Fisher with Sally Sweetland
1953-05-22,1,Pretend,Nat King Cole
1953-05-29,1,Terry's Theme from Limelight,Frank Chacksfield
1953-05-29,1,I Believe,Frankie Laine
1953-05-29,1,"Hold Me, Thrill Me, Kiss Me",Muriel Smith
1953-05-29,1,"I Believe"" †",Frankie Laine
1953-05-29,1,The Song from the Moulin Rouge,Mantovani
1953-06-05,1,"I Believe"" †",Frankie Laine
1953-06-05,1,Coronation Rag,Winifred Atwell
1953-06-05,1,I Believe,Frankie Laine
1953-06-05,1,In a Golden Coach,Dickie Valentine
1953-06-05,1,Terry's Theme from Limelight,Frank Chacksfield
1953-06-05,1,"Hold Me, Thrill Me, Kiss Me",Muriel Smith
1953-06-12,1,I Believe,Frankie Laine
1953-06-12,1,Terry's Theme from Limelight,Frank Chacksfield
1953-06-12,1,"Hold Me, Thrill Me, Kiss Me",Muriel Smith
1953-06-12,1,"I Believe"" †",Frankie Laine
1953-06-19,1,Terry's Theme from Limelight,Frank Chacksfield
1953-06-19,1,"I Believe"" †",Frankie Laine
1953-06-19,1,I Believe,Frankie Laine
1953-06-26,1,I'm Walking Behind You,Eddie Fisher with Sally Sweetland
1953-06-26,1,I Believe,Frankie Laine
1953-06-26,1,Terry's Theme from Limelight,Frank Chacksfield
1953-07-03,1,"I Believe"" †",Frankie Laine
1953-07-03,1,I Believe,Frankie Laine
1953-07-03,1,Terry's Theme from Limelight,Frank Chacksfield
1953-07-10,1,Rachel,Al Martino
1953-07-10,1,Terry's Theme from Limelight,Frank Chacksfield
1953-07-10,1,"I Believe"" †",Frankie Laine
1953-07-10,1,I Believe,Frankie Laine
1953-07-17,1,Rachel,Al Martino
1953-07-17,1,I Believe,Frankie Laine
1953-07-17,1,"I Believe"" †",Frankie Laine
1953-07-24,1,Hot Toddy,Ted Heath & His Music
1953-07-24,1,"I Believe"" †",Frankie Laine
1953-07-24,1,I Believe,Frankie Laine
1953-07-31,1,Hot Toddy,Ted Heath & His Music
1953-07-31,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-07-31,1,I Believe,Frankie Laine
1953-07-31,1,"I Believe"" †",Frankie Laine
1953-08-07,1,"I Believe"" †",Frankie Laine
1953-08-07,1,Say You're Mine Again,June Hutton & Axel Stordahl with The Boys Next Door
1953-08-07,1,I Believe,Frankie Laine
1953-08-07,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-08-14,1,The Song from Moulin Rouge,Mantovani
1953-08-14,1,Can't I?,Nat King Cole
1953-08-14,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-08-21,1,"I Believe"" †",Frankie Laine
1953-08-21,1,Can't I?,Nat King Cole
1953-08-21,1,Seven Lonely Days,Gisele MacKenzie
1953-08-21,1,Eternally,Jimmy Young
1953-08-21,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-08-28,1,Look at That Girl,Guy Mitchell
1953-08-28,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-08-28,1,"I Believe"" †",Frankie Laine
1953-09-04,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-09-04,1,Look at That Girl,Guy Mitchell
1953-09-04,1,"I Believe"" †",Frankie Laine
1953-09-11,1,Where the Winds Blow,Frankie Laine
1953-09-11,1,Look at That Girl,Guy Mitchell
1953-09-11,1,Let's Walk That-a-Way,Doris Day & Johnnie Ray
1953-09-18,1,Look at That Girl,Guy Mitchell
1953-09-18,1,Kiss,Dean Martin
1953-09-18,1,Mother Nature and Father Time,Nat King Cole
1953-09-25,1,Look at That Girl,Guy Mitchell
1953-10-02,1,Look at That Girl,Guy Mitchell
1953-10-02,1,The Bridge of Sighs,David Whitfield
1953-10-09,1,Look at That Girl,Guy Mitchell
1953-10-09,1,Flirtation Waltz,Winifred Atwell
1953-10-16,1,Hey Joe!,Frankie Laine
1953-10-16,1,Look at That Girl,Guy Mitchell
1953-10-23,1,"Poppa Piccolino"" ‡",Diana Decker
1953-10-23,1,Poppa Piccolino,Diana Decker
1953-10-23,1,Answer Me,David Whitfield
1953-10-23,1,"Answer Me"" ‡",David Whitfield
1953-10-23,1,Swedish Rhapsody,Mantovani
1953-10-23,1,Hey Joe!,Frankie Laine
1953-10-23,1,"Swedish Rhapsody"" ‡",Mantovani
1953-10-23,1,Hey Joe,Frankie Laine
1953-10-30,1,"Answer Me"" ‡",David Whitfield
1953-10-30,1,"Swedish Rhapsody"" ‡",Mantovani
1953-10-30,1,Answer Me,David Whitfield
1953-10-30,1,Swedish Rhapsody,Mantovani
1953-10-30,1,Hey Joe,Frankie Laine
1953-11-06,1,Chicka Boom,Guy Mitchell
1953-11-06,1,Answer Me,David Whitfield
1953-11-06,1,"Answer Me"" ‡",Frankie Laine
1953-11-06,1,"Chicka Boom"" ♦",Guy Mitchell
1953-11-13,1,Answer Me,Frankie Laine
1953-11-13,1,"Answer Me"" ‡",Frankie Laine
1953-11-20,1,Answer Me,Frankie Laine
1953-11-20,1,"Answer Me"" ‡",Frankie Laine
1953-11-20,1,Wish You Were Here,Eddie Fisher
1953-11-20,1,Vaya con Dios,Les Paul & Mary Ford
1953-11-27,1,"Answer Me"" ‡",Frankie Laine
1953-11-27,1,Dragnet,Ted Heath & His Music
1953-11-27,1,I Saw Mommy Kissing Santa Claus,Jimmy Boyd
1953-11-27,1,Answer Me,Frankie Laine
1953-11-27,1,"I Saw Mommy Kissing Santa Claus"" ‡",Jimmy Boyd
1953-12-04,1,"Let's Have a Party"" ♦",Winifred Atwell
1953-12-04,1,Let's Have a Party,Winifred Atwell
1953-12-04,1,"Answer Me"" ‡",Frankie Laine
1953-12-04,1,"Swedish Rhapsody"" ‡",Ray Martin
1953-12-04,1,Answer Me,Frankie Laine
1953-12-04,1,Swedish Rhapsody,Ray Martin
1953-12-04,1,Dragnet,Ray Anthony & His Orchestra
1953-12-11,1,"Ricochet"" ‡",Joan Regan with The Squadronaires
1953-12-11,1,I Saw Mommy Kissing Santa Claus,The Beverley Sisters
1953-12-11,1,Crying in the Chapel,Lee Lawrence
1953-12-11,1,Ricochet,Joan Regan with The Squadronaires
1953-12-11,1,Answer Me,Frankie Laine
1953-12-11,1,"Answer Me"" ‡",Frankie Laine
1953-12-11,1,"Swedish Rhapsody"" ‡",Ray Martin
1953-12-11,1,"I Saw Mommy Kissing Santa Claus"" ‡",The Beverley Sisters
1953-12-11,1,"Crying in the Chapel"" ‡",Lee Lawrence
1953-12-11,1,Swedish Rhapsody,Ray Martin
1953-12-18,1,Swedish Rhapsody,Ray Martin
1953-12-18,1,"Answer Me"" ‡",Frankie Laine
1953-12-18,1,"Swedish Rhapsody"" ‡",Ray Martin
1953-12-18,1,Answer Me,David Whitfield
1953-12-18,1,"Oh Mein Papa"" ♦",Eddie Calvert
1953-12-18,1,Oh Mein Papa,Eddie Calvert
1953-12-25,1,Answer Me,David Whitfield
1953-12-25,1,"Oh Mein Papa"" ♦",Eddie Calvert
1953-12-25,1,Oh Mein Papa,Eddie Calvert
1954-01-01,1,Answer Me,David Whitfield
1954-01-01,1,Oh Mein Papa,Eddie Calvert
1954-01-01,1,"Oh Mein Papa"" ♦",Eddie Calvert
1954-01-08,1,Answer Me,David Whitfield
1954-01-08,1,Oh Mein Papa,Eddie Calvert
1954-01-08,1,Cloud Lucky Seven,Guy Mitchell
1954-01-08,1,"Oh Mein Papa"" ♦",Eddie Calvert
1954-01-08,1,Rags to Riches,David Whitfield
