date,rank,song,artist
2010-01-04,1,En apa som liknar dig,Darin
2010-01-04,1,Shallow,Lady Gaga and Bradley Cooper
2010-01-05,1,Perfect Duet,Ed Sheeran and Beyoncé
2010-01-06,1,Levels,Avicii
2010-01-06,1,Rockabye,Clean Bandit featuring Anne-Marie & Sean Paul
2010-01-07,1,Mikrofonkåt,September
2010-01-08,1,Higher,Erik Grönwall
2010-01-08,1,Take Me to Church,Hozier
2010-01-08,1,Faded,Alan Walker
2010-01-10,1,Timber,Pitbull featuring Ke$ha
2010-01-11,1,Shallow,Lady Gaga and Bradley Cooper
2010-01-11,1,När solen går ner,Aki featuring Kapten Röd
2010-01-12,1,Perfect Duet,Ed Sheeran and Beyoncé
2010-01-13,1,Levels,Avicii
2010-01-13,1,Shape of You,Ed Sheeran
2010-01-14,1,Mikrofonkåt,September
2010-01-15,1,Higher,Erik Grönwall
2010-01-15,1,Take Me to Church,Hozier
2010-01-15,1,Faded,Alan Walker
2010-01-17,1,I See Fire,Ed Sheeran
2010-01-18,1,Shallow,Lady Gaga and Bradley Cooper
2010-01-18,1,När solen går ner,Aki featuring Kapten Röd
2010-01-19,1,Perfect Duet,Ed Sheeran and Beyoncé
2010-01-20,1,Levels,Avicii
2010-01-20,1,Shape of You,Ed Sheeran
2010-01-21,1,Mikrofonkåt,September
2010-01-22,1,Bad Romance,Lady Gaga
2010-01-22,1,Faded,Alan Walker
2010-01-22,1,Take Me to Church,Hozier
2010-01-24,1,I See Fire,Ed Sheeran
2010-01-25,1,7 Rings,Ariana Grande
2010-01-25,1,När solen går ner,Aki featuring Kapten Röd
2010-01-26,1,Perfect Duet,Ed Sheeran and Beyoncé
2010-01-27,1,Shape of You,Ed Sheeran
2010-01-27,1,Levels,Avicii
2010-01-28,1,Mikrofonkåt,September
2010-01-29,1,Faded,Alan Walker
2010-01-29,1,Higher,Erik Grönwall
2010-01-29,1,Love Me Like You Do,Ellie Goulding
2010-01-31,1,I See Fire,Ed Sheeran
2010-02-01,1,7 Rings,Ariana Grande
2010-02-01,1,Let Her Go,Passenger
2010-02-02,1,God's Plan,Drake
2010-02-03,1,Shape of You,Ed Sheeran
2010-02-03,1,Äckligt,Ansiktet
2010-02-04,1,Mikrofonkåt,September
2010-02-05,1,Faded,Alan Walker
2010-02-05,1,Love Me Like You Do,Ellie Goulding
2010-02-05,1,Bad Romance,Lady Gaga
2010-02-07,1,I See Fire,Ed Sheeran
2010-02-08,1,Bury a Friend,Billie Eilish
2010-02-08,1,Let Her Go,Passenger
2010-02-09,1,God's Plan,Drake
2010-02-10,1,Shape of You,Ed Sheeran
2010-02-10,1,Äckligt,Ansiktet
2010-02-11,1,Grenade,Bruno Mars
2010-02-12,1,Pillowtalk,Zayn
2010-02-12,1,Love Me Like You Do,Ellie Goulding
2010-02-12,1,Fireflies,Owl City
2010-02-14,1,I See Fire,Ed Sheeran
2010-02-15,1,Let Her Go,Passenger
2010-02-15,1,Katten i trakten,Einár
2010-02-16,1,God's Plan,Drake
2010-02-17,1,Shape of You,Ed Sheeran
2010-02-17,1,Äckligt,Ansiktet
2010-02-18,1,Grenade,Bruno Mars
2010-02-19,1,Bada nakna,Samir & Viktor
2010-02-19,1,Ambitions,Donkeyboy
2010-02-19,1,Love Me Like You Do,Ellie Goulding
2010-02-21,1,I See Fire,Ed Sheeran
2010-02-22,1,Uncover,Zara Larsson
2010-02-22,1,Katten i trakten,Einár
2010-02-23,1,God's Plan,Drake
2010-02-24,1,All I Need,Joakim Lundell featuring Arrhult
2010-02-24,1,Ai se eu te pego!,Michel Teló
2010-02-25,1,Born This Way,Lady Gaga
2010-02-26,1,Faded,Alan Walker
2010-02-26,1,Famous,Play
2010-02-26,1,Love Me Like You Do,Ellie Goulding
2010-02-28,1,I See Fire,Ed Sheeran
2010-03-01,1,Uncover,Zara Larsson
