date,rank,song,artist
2016-05-31,1,Ngud',Kwesta featuring Cassper Nyovest
2016-06-07,1,Company,Justin Bieber
2016-06-14,1,Can't Stop the Feeling!,Justin Timberlake
2016-06-21,1,Can't Stop the Feeling!,Justin Timberlake
2016-06-28,1,Can't Stop the Feeling!,Justin Timberlake
2016-07-05,1,Can't Stop the Feeling!,Justin Timberlake
2016-07-12,1,Can't Stop the Feeling!,Justin Timberlake
2016-07-19,1,In Common,Alicia Keys
2016-07-26,1,In Common,Alicia Keys
2016-08-02,1,In Common,Alicia Keys
2016-08-09,1,In Common,Alicia Keys
2016-08-16,1,In Common,Alicia Keys
2016-08-23,1,In Common,Alicia Keys
2016-08-30,1,In Common,Alicia Keys
