date,rank,song,artist
1989-08-28,1,Lambada,Kaoma
1989-09-04,1,Lambada,Kaoma
1989-09-11,1,Lambada,Kaoma
1989-09-18,1,Lambada,Kaoma
1989-09-25,1,Lambada,Kaoma
1989-10-02,1,Lambada,Kaoma
1989-10-09,1,Lambada,Kaoma
1989-10-16,1,Lambada,Kaoma
1989-10-23,1,Lambada,Kaoma
1989-10-30,1,Lambada,Kaoma
1989-11-06,1,Lambada,Kaoma
1989-11-13,1,Lambada,Kaoma
1989-11-20,1,Swing the Mood,Jive Bunny and the Mastermixers
1989-11-27,1,Swing the Mood,Jive Bunny and the Mastermixers
1989-12-04,1,That's What I Like,Jive Bunny and the Mastermixers
1989-12-11,1,Pump Up the Jam,Technotronic
1989-12-18,1,Pump Up the Jam,Technotronic
1989-12-25,1,Pump Up the Jam,Technotronic
1990-01-06,1,That's What I Like,Jive Bunny and the Mastermixers
1990-01-13,1,That's What I Like,Jive Bunny and the Mastermixers
1990-01-20,1,Pump Up the Jam,Technotronic
1990-01-27,1,Pump Up the Jam,Technotronic
1990-02-03,1,All Around the World,Lisa Stansfield
1990-02-10,1,Pump Up the Jam,Technotronic
1990-02-17,1,All Around the World,Lisa Stansfield
1990-02-24,1,Pump Up the Jam,Technotronic
1990-03-03,1,Pump Up the Jam,Technotronic
1990-03-10,1,Pump Up the Jam,Technotronic
1990-03-17,1,Get Up!,Technotronic
1990-03-24,1,Enjoy the Silence,Depeche Mode
1990-03-31,1,Enjoy the Silence,Depeche Mode
1990-04-07,1,Enjoy the Silence,Depeche Mode
1990-04-14,1,Enjoy the Silence,Depeche Mode
1990-04-21,1,Enjoy the Silence,Depeche Mode
1990-04-28,1,Vogue,Madonna
1990-05-05,1,Vogue,Madonna
1990-05-12,1,Vogue,Madonna
1990-05-19,1,Vogue,Madonna
1990-05-26,1,Vogue,Madonna
1990-06-02,1,Vogue,Madonna
1990-06-09,1,Infinity,Guru Josh
1990-06-16,1,The Power,Snap!
1990-06-23,1,Infinity,Guru Josh
1990-06-30,1,Infinity,Guru Josh
1990-07-07,1,La Abuela,Wilfred y la Ganga
1990-07-14,1,La Abuela,Wilfred y la Ganga
1990-07-21,1,Infinity,Guru Josh
1990-07-28,1,Infinity,Guru Josh
1990-08-04,1,Infinity,Guru Josh
1990-08-11,1,Infinity,Guru Josh
1990-08-18,1,Infinity,Guru Josh
1990-08-25,1,Infinity,Guru Josh
1990-09-01,1,Infinity,Guru Josh
1990-09-08,1,It's On You,MC Sar & the Real McCoy
