date,rank,film
1900-08-20,1,Welcome Stranger
1900-08-21,1,Night and Day
1900-08-23,1,The Hangover
1900-08-24,1,Wanted
1900-08-27,1,The Bachelor and the Bobby-Soxer
1900-08-27,1,Horse Feathers
1900-08-28,1,Notorious
1900-08-30,1,Os Normais 2 - A Noite Mais Maluca de Todas
1900-08-31,1,Wanted
1900-09-03,1,Back Street
1900-09-03,1,The Bachelor and the Bobby-Soxer
1900-09-04,1,Notorious
1900-09-06,1,Up
1900-09-07,1,Hellboy II: The Golden Army
1900-09-10,1,The Bachelor and the Bobby-Soxer
1900-09-10,1,Down to Earth
1900-09-11,1,Notorious/ Monsieur Beaucaire
1900-09-13,1,Up
1900-09-14,1,Mamma Mia!
1900-09-17,1,Life with Father
1900-09-17,1,Blondie of the Follies
1900-09-18,1,Notorious
1900-09-20,1,Up
1900-09-21,1,Mamma Mia!
1900-09-24,1,Grand Hotel
1900-09-24,1,Life with Father
1900-09-25,1,Notorious
1900-09-27,1,Up
1900-09-28,1,Eagle Eye
1900-10-01,1,Life with Father
1900-10-01,1,Blonde Venus
1900-10-02,1,Notorious
1900-10-04,1,Cloudy with a Chance of Meatballs
1900-10-05,1,Disaster Movie
1900-10-08,1,The Phantom President
1900-10-08,1,Life with Father
1900-10-09,1,Notorious
1900-10-11,1,Cloudy with a Chance of Meatballs
1900-10-12,1,Righteous Kill
1900-10-15,1,The Foxes of Harrow
1900-10-15,1,The Phantom President
1900-10-16,1,Three Little Girls in Blue
1900-10-18,1,Cloudy with a Chance of Meatballs
1900-10-19,1,My Best Friend's Girl
1900-10-22,1,The Foxes of Harrow
1900-10-22,1,Smilin' Through
1900-10-23,1,"No Leave, No Love"
1900-10-25,1,Cloudy with a Chance of Meatballs
1900-10-26,1,High School Musical 3: Senior Year
1900-10-29,1,Six Hours to Live
1900-10-29,1,Forever Amber
1900-10-30,1,"No Leave, No Love"
1900-11-01,1,Michael Jackson's This Is It
1900-11-02,1,High School Musical 3: Senior Year
1900-11-05,1,Forever Amber
1900-11-05,1,Red Dust
1900-11-06,1,Two Years Before the Mast
1900-11-08,1,A Christmas Carol
1900-11-09,1,Quantum of Solace
1900-11-12,1,Red Dust
1900-11-12,1,Forever Amber
1900-11-13,1,Two Years Before the Mast
1900-11-15,1,2012
1900-11-16,1,Quantum of Solace
1900-11-19,1,I Am a Fugitive from a Chain Gang
1900-11-19,1,Body and Soul
1900-11-20,1,Margie
1900-11-22,1,The Twilight Saga: New Moon
1900-11-23,1,Quantum of Solace
1900-11-26,1,Body and Soul
1900-11-26,1,Prosperity
1900-11-27,1,Deception
1900-11-29,1,The Twilight Saga: New Moon
1900-11-30,1,Burn After Reading
1900-12-03,1,Prosperity
1900-12-03,1,Green Dolphin Street
1900-12-04,1,Undercurrent
1900-12-06,1,The Twilight Saga: New Moon
1900-12-07,1,Burn After Reading
1900-12-10,1,Green Dolphin Street
1900-12-10,1,Under-Cover Man
1900-12-11,1,Undercurrent
1900-12-13,1,The Twilight Saga: New Moon
1900-12-14,1,Madagascar: Escape 2 Africa
1900-12-17,1,Green Dolphin Street
1900-12-17,1,Flesh
1900-12-18,1,The Strange Woman
1900-12-20,1,Avatar †
1900-12-21,1,Madagascar: Escape 2 Africa
1900-12-24,1,TBD
1900-12-24,1,Unconquered
1900-12-25,1,Till the Clouds Roll By
1900-12-27,1,Avatar †
1900-12-28,1,Madagascar: Escape 2 Africa
1900-12-30,1,Avatar
1900-12-31,1,Captain from Castile
1948-01-07,1,Captain from Castile
1948-01-14,1,Road to Rio †
1948-01-21,1,Road to Rio †
1948-01-28,1,The Treasure of the Sierra Madre
1948-02-04,1,The Treasure of the Sierra Madre
1948-02-11,1,You Were Meant for Me
1948-02-18,1,To the Ends of the Earth
1948-02-25,1,The Voice of the Turtle
1948-03-03,1,Call Northside 777
1948-03-10,1,Call Northside 777
1948-03-17,1,Saigon
1948-03-24,1,Gentleman's Agreement
1948-03-31,1,Sitting Pretty
1948-04-07,1,The Naked City
1948-04-14,1,The Naked City
1948-04-21,1,I Remember Mama
1948-04-28,1,The Big Clock
1948-05-05,1,State of the Union
1948-05-12,1,State of the Union
1948-05-19,1,The Iron Curtain
1948-05-26,1,The Iron Curtain
1948-06-02,1,Homecoming
1948-06-09,1,Homecoming
1948-06-16,1,Homecoming
1948-06-23,1,Homecoming
1948-06-30,1,The Emperor Waltz
1948-07-07,1,The Emperor Waltz
1948-07-14,1,The Emperor Waltz
1948-07-21,1,The Emperor Waltz
1948-07-28,1,Easter Parade
1948-08-04,1,Key Largo
1948-08-11,1,Key Largo
1948-08-18,1,Key Largo
1948-08-25,1,A Date with Judy
1948-09-01,1,A Date with Judy
1948-09-08,1,A Date with Judy
1948-09-15,1,A Date with Judy
1948-09-22,1,Rachel and the Stranger
1948-09-29,1,Rachel and the Stranger
1948-10-06,1,"Sorry, Wrong Number"
1948-10-13,1,"Sorry, Wrong Number"
1948-10-20,1,Johnny Belinda
1948-10-27,1,Apartment for Peggy
1948-11-03,1,Red River
1948-11-10,1,A Song Is Born
1948-11-17,1,Road House
1948-11-24,1,Julia Misbehaves
1948-12-01,1,When My Baby Smiles at Me
1948-12-08,1,The Three Musketeers
1948-12-15,1,When My Baby Smiles at Me
1948-12-22,1,The Paleface
1948-12-29,1,The Paleface
1949-01-05,1,The Paleface
1949-01-12,1,The Paleface
1949-01-19,1,Words and Music
1949-01-26,1,The Snake Pit
1949-02-02,1,Joan of Arc
1949-02-09,1,Joan of Arc
1949-02-16,1,Joan of Arc
1949-02-23,1,Command Decision
1949-03-02,1,Whispering Smith
1949-03-09,1,Whispering Smith
1949-03-16,1,A Letter to Three Wives
1949-03-23,1,Mother Is a Freshman
1949-03-30,1,Knock on Any Door
1949-04-06,1,The Set-Up
1949-04-13,1,The Set-Up
1949-04-20,1,A Connecticut Yankee in King Arthur's Court
1949-04-27,1,A Connecticut Yankee in King Arthur's Court
1949-05-04,1,A Connecticut Yankee in King Arthur's Court
1949-05-11,1,Flamingo Road
1949-05-18,1,Mr. Belvedere Goes to College
1949-05-25,1,Flamingo Road
1949-06-01,1,The Stratton Story
1949-06-08,1,The Stratton Story
1949-06-15,1,Home of the Brave
1949-06-22,1,It Happens Every Spring
1949-06-29,1,Sorrowful Jones
1949-07-06,1,Neptune's Daughter Sorrowful Jones
1949-07-13,1,Sorrowful Jones Neptune's Daughter
1949-07-20,1,Sorrowful Jones The Girl from Jones Beach
1949-07-27,1,Any Number Can Play
1949-08-03,1,Look for the Silver Lining
1949-08-10,1,In the Good Old Summertime
1949-08-17,1,Look for the Silver Lining
1949-08-24,1,Black Magic
1949-08-31,1,It's a Great Feeling
1949-09-07,1,White Heat
1949-09-14,1,Top o' the Morning
1949-09-21,1,I Was a Male War Bride
1949-09-28,1,I Was a Male War Bride
1949-10-05,1,My Friend Irma
1949-10-12,1,Father Was a Fullback
1949-10-19,1,Jolson Sings Again †
1949-10-26,1,Jolson Sings Again †
1949-11-02,1,Jolson Sings Again †
1949-11-09,1,Jolson Sings Again †
1949-11-16,1,Jolson Sings Again †
1949-11-23,1,That Forsyte Woman
1949-11-30,1,"Oh, You Beautiful Doll"
1949-12-07,1,Pinky
1949-12-14,1,Pinky
1949-12-21,1,The Great Lover
1949-12-28,1,The Great Lover
1950-01-04,1,The Great Lover
1950-01-11,1,On the Town
1950-01-18,1,Sands of Iwo Jima
1950-01-25,1,Sands of Iwo Jima
1950-02-01,1,Samson and Delilah †
1950-02-08,1,Samson and Delilah †
1950-02-15,1,Samson and Delilah †
1950-02-22,1,Samson and Delilah †
1950-03-01,1,Samson and Delilah †
1950-03-08,1,Cinderella
1950-03-15,1,Cinderella
1950-03-22,1,Francis
1950-03-29,1,Francis
1950-04-05,1,Cinderella
1950-04-12,1,Cinderella
1950-04-19,1,Cheaper by the Dozen
1950-04-26,1,Riding High
1950-05-03,1,The Third Man
1950-05-10,1,The Daughter of Rosie O'Grady
1950-05-17,1,The Damned Don't Cry
1950-05-24,1,Annie Get Your Gun
1950-05-31,1,The Big Hangover
1950-06-07,1,Father of the Bride
1950-06-14,1,Annie Get Your Gun
1950-06-21,1,Father of the Bride
1950-06-28,1,Father of the Bride
1950-07-05,1,Father of the Bride
1950-07-12,1,Father of the Bride
1950-07-19,1,Winchester '73
1950-07-26,1,Duchess of Idaho
1950-08-02,1,The Flame and the Arrow
1950-08-09,1,Three Little Words
1950-08-16,1,Treasure Island
1950-08-23,1,Sunset Boulevard
1950-08-30,1,Sunset Boulevard
1950-09-06,1,The Black Rose
1950-09-13,1,The Black Rose
1950-09-20,1,My Blue Heaven
1950-09-27,1,My Blue Heaven
1950-10-04,1,No Way Out
1950-10-11,1,Mister 880
1950-10-18,1,Mister 880
1950-10-25,1,The Glass Menagerie
1950-11-01,1,All About Eve
1950-11-08,1,All About Eve
1950-11-15,1,Rio Grande
1950-11-22,1,King Solomon's Mines
1950-11-29,1,King Solomon's Mines
1950-12-06,1,King Solomon's Mines
1950-12-13,1,King Solomon's Mines
1950-12-20,1,King Solomon's Mines
1950-12-27,1,Mr. Music
1951-01-03,1,Mr. Music
1951-01-10,1,Harvey
1951-01-17,1,Harvey
1951-01-24,1,Halls of Montezuma
1951-01-31,1,At War with the Army
1951-02-07,1,At War with the Army
1951-02-14,1,At War with the Army
1951-02-21,1,Born Yesterday
1951-02-28,1,Payment on Demand
1951-03-07,1,Payment on Demand
1951-03-14,1,Born Yesterday
1951-03-21,1,Born Yesterday
1951-03-28,1,Royal Wedding
1951-04-04,1,Royal Wedding
