date,rank,film
1987-04-05,1,Over the Top
1987-04-12,1,The Secret of My Success
1987-04-12,1,Over the Top
1987-04-19,1,Star Trek IV: The Voyage Home
1987-04-19,1,The Secret of My Success
1987-04-26,1,The Secret of My Success
1987-04-26,1,Star Trek IV: The Voyage Home
1987-05-03,1,Star Trek IV: The Voyage Home
1987-05-03,1,The Secret of My Success
1987-05-10,1,Platoon
1987-05-10,1,The Secret of My Success
1987-05-17,1,Platoon
1987-05-17,1,Ishtar
1987-05-24,1,Platoon
1987-05-31,1,Beverly Hills Cop II †
1987-05-31,1,Platoon
1987-06-07,1,Beverly Hills Cop II †
1987-06-07,1,Platoon
1987-06-14,1,Predator
1987-06-14,1,Mannequin
1987-06-21,1,Mannequin
1987-06-21,1,The Witches of Eastwick
1987-06-28,1,Dragnet
1987-06-28,1,The Secret of My Success
1987-07-05,1,Dragnet
1987-07-05,1,The Secret of My Success
1987-07-12,1,Revenge of the Nerds II: Nerds in Paradise
1987-07-12,1,Police Academy 4: Citizens on Patrol
1987-07-19,1,RoboCop
1987-07-19,1,Police Academy 4: Citizens on Patrol
1987-07-26,1,RoboCop
1987-07-26,1,Superman IV: The Quest for Peace
1987-08-02,1,The Living Daylights
1987-08-09,1,The Living Daylights
1987-08-16,1,The Living Daylights
1987-08-16,1,Stakeout
1987-08-23,1,Stakeout
1987-08-23,1,The Living Daylights
1987-08-30,1,Lethal Weapon
1987-08-30,1,Stakeout
1987-09-06,1,Lethal Weapon
1987-09-13,1,Stakeout
1987-09-13,1,Full Metal Jacket
1987-09-20,1,Full Metal Jacket
1987-09-20,1,Fatal Attraction
1987-09-27,1,The Untouchables
1987-09-27,1,Fatal Attraction
1987-10-04,1,The Untouchables
1987-10-04,1,Fatal Attraction
1987-10-11,1,Beverly Hills Cop II
1987-10-18,1,Beverly Hills Cop II
1987-10-18,1,Fatal Attraction
1987-10-25,1,Beverly Hills Cop II
1987-10-25,1,Fatal Attraction
1987-11-01,1,Fatal Attraction
1987-11-01,1,Beverly Hills Cop II
1987-11-08,1,A Nightmare on Elm Street 3: Dream Warriors
1987-11-08,1,Fatal Attraction
1987-11-15,1,The Running Man
1987-11-15,1,A Nightmare on Elm Street 3: Dream Warriors
1987-11-22,1,The Running Man
1987-11-22,1,The Witches of Eastwick
1987-11-29,1,Innerspace
1987-11-29,1,Three Men and a Baby
1987-12-06,1,Three Men and a Baby
1987-12-06,1,Innerspace
1987-12-13,1,Throw Momma from the Train
1987-12-13,1,Big Foot and the Hendersons
1987-12-20,1,Eddie Murphy Raw
1987-12-20,1,Snow White and the Seven Dwarfs
1987-12-27,1,Three Men and a Baby
1987-12-27,1,Masters of the Universe
1988-01-03,1,Three Men and a Baby
1988-01-03,1,Masters of the Universe
1988-01-10,1,Three Men and a Baby
1988-01-10,1,Predator
1988-01-17,1,"Good Morning, Vietnam"
1988-01-17,1,Fatal Attraction
1988-01-24,1,"Good Morning, Vietnam"
1988-01-24,1,Fatal Attraction
1988-01-31,1,Fatal Attraction
1988-01-31,1,"Good Morning, Vietnam"
1988-02-07,1,"Good Morning, Vietnam"
1988-02-07,1,Fatal Attraction
1988-02-14,1,Fatal Attraction
1988-02-21,1,Fatal Attraction
1988-02-21,1,"Good Morning, Vietnam"
1988-02-28,1,"Good Morning, Vietnam"
1988-02-28,1,Fatal Attraction
1988-03-06,1,"Good Morning, Vietnam"
1988-03-06,1,Fatal Attraction
1988-03-13,1,"Good Morning, Vietnam"
1988-03-13,1,Stakeout
1988-03-20,1,Police Academy 5: Assignment Miami Beach
1988-03-20,1,Fatal Attraction
1988-03-27,1,Empire of the Sun
1988-03-27,1,Biloxi Blues
1988-04-03,1,Beetlejuice
1988-04-03,1,The Fox and the Hound
1988-04-10,1,Beetlejuice
1988-04-10,1,Empire of the Sun
1988-04-17,1,Beetlejuice
1988-04-17,1,Moonstruck
1988-04-24,1,Beetlejuice
1988-04-24,1,Moonstruck
1988-05-01,1,Three Men and a Baby
1988-05-01,1,Colors
1988-05-08,1,Three Men and a Baby
1988-05-08,1,Colors
1988-05-15,1,Friday the 13th Part VII: The New Blood
1988-05-15,1,Three Men and a Baby
1988-05-22,1,Three Men and a Baby
1988-05-22,1,Willow
1988-05-29,1,Three Men and a Baby
1988-06-05,1,Crocodile Dundee II
1988-06-05,1,Three Men and a Baby
1988-06-12,1,Three Men and a Baby
1988-06-12,1,Crocodile Dundee II
1988-06-19,1,Three Men and a Baby
1988-06-19,1,Red Heat
1988-06-26,1,Crocodile Dundee II
1988-06-26,1,Who Framed Roger Rabbit †
1988-07-03,1,Crocodile Dundee II
1988-07-10,1,Coming to America
1988-07-10,1,Crocodile Dundee II
1988-07-17,1,Coming to America
1988-07-17,1,Crocodile Dundee II
1988-07-24,1,Crocodile Dundee II
1988-07-24,1,Who Framed Roger Rabbit †
1988-07-31,1,Cocktail
1988-07-31,1,The Jungle Book
1988-08-07,1,Cocktail
1988-08-07,1,Coming to America
1988-08-14,1,Young Guns
1988-08-14,1,Coming to America
1988-08-21,1,Beetlejuice
1988-08-21,1,A Nightmare on Elm Street 4: The Dream Master
1988-08-28,1,A Nightmare on Elm Street 4: The Dream Master
1988-08-28,1,Rambo III
1988-09-04,1,Rambo III
1988-09-11,1,Moon over Parador
1988-09-11,1,Beetlejuice
1988-09-18,1,A Fish Called Wanda
1988-09-18,1,Frantic
1988-09-25,1,Dead Ringers
1988-09-25,1,The Running Man
1988-10-02,1,"Good Morning, Vietnam"
1988-10-02,1,Gorillas in the Mist
1988-10-09,1,"Good Morning, Vietnam"
1988-10-16,1,Buster
1988-10-16,1,The Accused
1988-10-23,1,A Fish Called Wanda
1988-10-23,1,Halloween 4: The Return of Michael Myers
1988-10-30,1,A Fish Called Wanda
1988-10-30,1,Halloween 4: The Return of Michael Myers
1988-11-06,1,They Live
1988-11-06,1,A Fish Called Wanda
1988-11-13,1,Child's Play
1988-11-13,1,A Fish Called Wanda
1988-11-20,1,The Land Before Time
1988-11-20,1,A Fish Called Wanda
1988-11-27,1,Scrooged
1988-12-04,1,The Naked Gun: From the Files of Police Squad!
1988-12-04,1,Who Framed Roger Rabbit
1988-12-11,1,Who Framed Roger Rabbit
1988-12-11,1,Twins
1988-12-18,1,Twins
1988-12-18,1,Who Framed Roger Rabbit
1988-12-25,1,Who Framed Roger Rabbit
1988-12-26,1,Twins
1989-01-02,1,Rain Man
1989-01-06,1,Who Framed Roger Rabbit
1989-01-08,1,Rain Man
1989-01-13,1,Who Framed Roger Rabbit
1989-01-15,1,Rain Man
1989-01-20,1,Who Framed Roger Rabbit
1989-01-22,1,Rain Man
1989-01-27,1,Cocktail
1989-01-29,1,Rain Man
1989-02-03,1,Cocktail
1989-02-05,1,Three Fugitives
1989-02-10,1,Die Hard
1989-02-12,1,The Fly II
1989-02-17,1,Die Hard
1989-02-24,1,The Naked Gun: From the Files of Police Squad!
1989-02-26,1,The 'Burbs
1989-03-03,1,The Naked Gun: From the Files of Police Squad!
1989-03-05,1,Lean on Me
1989-03-10,1,The Naked Gun: From the Files of Police Squad!
1989-03-12,1,Lean on Me
1989-03-17,1,Rain Man
1989-03-19,1,Fletch Lives
1989-03-24,1,Twins
1989-03-26,1,Fletch Lives
1989-03-31,1,Twins
1989-04-02,1,Rain Man
1989-04-07,1,Rain Man
1989-04-09,1,Major League
1989-04-14,1,Rain Man
1989-04-16,1,Major League
1989-04-21,1,Working Girl
1989-04-23,1,Pet Sematary
1989-04-28,1,Rain Man
1989-04-30,1,Pet Sematary
1989-05-05,1,My Stepmother is an Alien
1989-05-07,1,Pet Sematary
1989-05-12,1,A Nightmare on Elm Street 4: The Dream Master
1989-05-14,1,"See No Evil, Hear No Evil"
1989-05-19,1,A Nightmare on Elm Street 4: The Dream Master
1989-05-21,1,"See No Evil, Hear No Evil"
1989-05-26,1,Mississippi Burning
1989-06-02,1,Mississippi Burning
1989-06-04,1,Indiana Jones and the Last Crusade
1989-06-09,1,Mississippi Burning
1989-06-11,1,Star Trek V: The Final Frontier
1989-06-16,1,Beaches
1989-06-18,1,Ghostbusters II
1989-06-23,1,Hellbound: Hellraiser II
1989-06-25,1,Batman †
1989-06-30,1,Licence to Kill
1989-07-02,1,Batman †
1989-07-07,1,Indiana Jones and the Last Crusade †
1989-07-09,1,Lethal Weapon 2
1989-07-14,1,Indiana Jones and the Last Crusade †
1989-07-16,1,Lethal Weapon 2
1989-07-21,1,Indiana Jones and the Last Crusade †
1989-07-23,1,Lethal Weapon 2
1989-07-28,1,Indiana Jones and the Last Crusade †
1989-07-30,1,Turner & Hooch
1989-08-04,1,Indiana Jones and the Last Crusade †
1989-08-06,1,Parenthood
1989-08-11,1,Indiana Jones and the Last Crusade †
1989-08-13,1,Parenthood
1989-08-18,1,Batman
1989-08-20,1,Uncle Buck
1989-08-25,1,Batman
1989-08-27,1,Uncle Buck
1989-09-01,1,Batman
1989-09-08,1,Batman
1989-09-10,1,Uncle Buck
1989-09-15,1,"See No Evil, Hear No Evil"
1989-09-17,1,Sea of Love
1989-09-22,1,Lethal Weapon 2
1989-09-24,1,Black Rain
1989-09-29,1,Lethal Weapon 2
1989-10-01,1,Black Rain
1989-10-06,1,Dead Poets Society
1989-10-13,1,Dead Poets Society
1989-10-15,1,Look Who's Talking
1989-10-20,1,Young Einstein
1989-10-22,1,Look Who's Talking
1989-10-27,1,Young Einstein
1989-10-29,1,Look Who's Talking
1989-11-03,1,Shirley Valentine
1989-11-05,1,Look Who's Talking
1989-11-10,1,Shirley Valentine
1989-11-12,1,Look Who's Talking
1989-11-17,1,Shirley Valentine
1989-11-19,1,Harlem Nights
1989-11-24,1,Wilt
1989-11-26,1,Back to the Future Part II
1989-12-01,1,Back to the Future Part II
1989-12-03,1,Back to the Future Part II
1989-12-08,1,Back to the Future Part II
1989-12-10,1,The War of the Roses
1989-12-15,1,Back to the Future Part II
1989-12-17,1,National Lampoon's Christmas Vacation
1989-12-22,1,Back to the Future Part II
1989-12-24,1,National Lampoon's Christmas Vacation
1989-12-29,1,Back to the Future Part II
1989-12-31,1,The War of the Roses
1990-01-03,1,The War of the Roses
1990-01-05,1,Back to the Future Part II
1990-01-07,1,Born on the Fourth of July
1990-01-10,1,The War of the Roses
1990-01-12,1,When Harry Met Sally
1990-01-14,1,Born on the Fourth of July
1990-01-17,1,The War of the Roses
1990-01-19,1,Parenthood
1990-01-21,1,Born on the Fourth of July
1990-01-24,1,Black Rain
1990-01-26,1,Parenthood
1990-01-28,1,Driving Miss Daisy
1990-01-31,1,Black Rain
1990-02-02,1,Black Rain
1990-02-04,1,Driving Miss Daisy
1990-02-07,1,Black Rain
1990-02-09,1,Black Rain
1990-02-11,1,Hard to Kill
1990-02-14,1,Black Rain
1990-02-16,1,"Honey, I Shrunk the Kids"
1990-02-21,1,Born on the Fourth of July
1990-02-23,1,"Honey, I Shrunk the Kids"
1990-02-25,1,Driving Miss Daisy
1990-02-28,1,Tango & Cash
1990-03-02,1,"Honey, I Shrunk the Kids"
1990-03-04,1,The Hunt for Red October
1990-03-07,1,Tango & Cash
1990-03-09,1,Born on the Fourth of July
1990-03-11,1,The Hunt for Red October
1990-03-14,1,Tango & Cash
1990-03-16,1,Born on the Fourth of July
1990-03-18,1,The Hunt for Red October
1990-03-21,1,Look Who's Talking
1990-03-23,1,Born on the Fourth of July
1990-03-25,1,Pretty Woman
1990-03-28,1,Look Who's Talking
1990-03-30,1,The War of the Roses
1990-04-01,1,Teenage Mutant Ninja Turtles
1990-04-04,1,Look Who's Talking
1990-04-06,1,The War of the Roses
1990-04-08,1,Teenage Mutant Ninja Turtles
1990-04-10,1,The Hunt for Red October
1990-04-11,1,Look Who's Talking
1990-04-15,1,Teenage Mutant Ninja Turtles
1990-04-18,1,Look Who's Talking
1990-04-19,1,Look Who's Talking
1990-04-22,1,Teenage Mutant Ninja Turtles
1990-04-25,1,The Adventures of Milo and Otis
1990-04-26,1,Look Who's Talking
1990-04-29,1,Pretty Woman
1990-05-02,1,Look Who's Talking
1990-05-03,1,The Krays
1990-05-06,1,Pretty Woman
1990-05-09,1,Pretty Woman †
1990-05-10,1,The Krays
1990-05-13,1,Pretty Woman
1990-05-16,1,Pretty Woman †
1990-05-17,1,Pretty Woman
1990-05-20,1,Bird on a Wire
1990-05-23,1,Pretty Woman †
1990-05-24,1,Pretty Woman
1990-05-30,1,Pretty Woman †
1990-05-31,1,Pretty Woman
1990-06-03,1,Total Recall
1990-06-06,1,Pretty Woman †
1990-06-07,1,Pretty Woman
1990-06-10,1,Another 48 Hrs.
1990-06-13,1,Pretty Woman †
1990-06-14,1,Pretty Woman
1990-06-17,1,Dick Tracy
1990-06-20,1,Pretty Woman †
1990-06-21,1,Pretty Woman
1990-06-24,1,Dick Tracy
1990-06-27,1,Dick Tracy
1990-06-28,1,Pretty Woman
1990-07-01,1,Days of Thunder
1990-07-04,1,Pretty Woman †
1990-07-05,1,Pretty Woman
1990-07-08,1,Die Hard 2
1990-07-11,1,Pretty Woman †
1990-07-12,1,Pretty Woman
1990-07-15,1,Die Hard 2
1990-07-18,1,Pretty Woman †
1990-07-19,1,Back to the Future Part III
1990-07-22,1,Ghost †
1990-07-25,1,Pretty Woman †
1990-07-26,1,Back to the Future Part III
1990-07-29,1,Presumed Innocent
1990-08-01,1,Pretty Woman †
1990-08-02,1,Gremlins 2: The New Batch
1990-08-05,1,Ghost †
1990-08-08,1,Teenage Mutant Ninja Turtles
1990-08-09,1,Gremlins 2: The New Batch
1990-08-12,1,Flatliners
1990-08-15,1,Teenage Mutant Ninja Turtles
1990-08-16,1,Total Recall
1990-08-19,1,The Exorcist III
1990-08-22,1,Teenage Mutant Ninja Turtles
1990-08-23,1,Total Recall
1990-08-26,1,Darkman
1990-08-29,1,Teenage Mutant Ninja Turtles
1990-08-30,1,Die Hard 2
1990-09-05,1,Die Hard 2
1990-09-06,1,Die Hard 2
1990-09-09,1,Ghost †
1990-09-12,1,Die Hard 2
1990-09-13,1,Memphis Belle
1990-09-16,1,Postcards from the Edge
1990-09-19,1,Days of Thunder
1990-09-20,1,Memphis Belle
1990-09-23,1,Goodfellas
1990-09-26,1,Days of Thunder
1990-09-27,1,Another 48 Hrs.
1990-09-30,1,Pacific Heights
1990-10-03,1,Days of Thunder
1990-10-04,1,Presumed Innocent
1990-10-10,1,Days of Thunder
1990-10-11,1,Ghost †
1990-10-14,1,Marked for Death
1990-10-17,1,Days of Thunder
1990-10-18,1,Ghost †
1990-10-21,1,Marked for Death
1990-10-24,1,Flatliners
1990-10-25,1,Ghost †
1990-10-28,1,Graveyard Shift
1990-10-31,1,Ghost
1990-11-01,1,Ghost †
1990-11-04,1,Jacob's Ladder
1990-11-07,1,Ghost
1990-11-08,1,Ghost †
1990-11-11,1,Child's Play 2
1990-11-14,1,Ghost
1990-11-15,1,Ghost †
1990-11-18,1,Home Alone
1990-11-21,1,Ghost
1990-11-22,1,Ghost †
1990-11-25,1,Home Alone
1990-11-28,1,Ghost
1990-11-29,1,Ghost †
1990-12-02,1,Home Alone
1990-12-05,1,Ghost
1990-12-06,1,Teenage Mutant Ninja Turtles
1990-12-09,1,Home Alone
1990-12-12,1,Total Recall
1990-12-13,1,Teenage Mutant Ninja Turtles
1990-12-16,1,Home Alone
1990-12-19,1,Total Recall
1990-12-20,1,Home Alone
1990-12-26,1,Home Alone
1990-12-27,1,Home Alone
1991-01-02,1,Home Alone
1991-01-03,1,Home Alone
1991-01-06,1,Home Alone
1991-01-09,1,Kindergarten Cop
1991-01-10,1,Arachnophobia
1991-01-13,1,Home Alone
1991-01-16,1,Kindergarten Cop
1991-01-17,1,Arachnophobia
1991-01-23,1,Look Who's Talking Too
1991-01-24,1,Arachnophobia
1991-01-27,1,Home Alone
1991-01-30,1,Kindergarten Cop
1991-01-31,1,Rocky V
1991-02-03,1,Home Alone
1991-02-06,1,Green Card
1991-02-07,1,Kindergarten Cop
1991-02-10,1,Sleeping with the Enemy
1991-02-13,1,Green Card
1991-02-14,1,Three Men and a Little Lady
1991-02-20,1,Green Card
1991-02-21,1,Three Men and a Little Lady
1991-02-24,1,The Silence of the Lambs
1991-02-27,1,Green Card
1991-02-28,1,Three Men and a Little Lady
1991-03-03,1,The Silence of the Lambs
1991-03-06,1,Dances with Wolves †
1991-03-07,1,Three Men and a Little Lady
1991-03-10,1,The Silence of the Lambs
1991-03-13,1,Dances with Wolves †
1991-03-14,1,Three Men and a Little Lady
1991-03-17,1,The Silence of the Lambs
1991-03-20,1,Awakenings
1991-03-21,1,Green Card
1991-03-24,1,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1991-03-27,1,Edward Scissorhands
1991-03-28,1,Look Who's Talking Too
1991-03-31,1,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1991-04-03,1,Dances with Wolves †
1991-04-04,1,Look Who's Talking Too
1991-04-07,1,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1991-04-10,1,Dances with Wolves †
1991-04-11,1,Dances with Wolves
1991-04-14,1,Out for Justice
1991-04-17,1,Dances with Wolves †
1991-04-18,1,Highlander II: The Quickening
1991-04-21,1,Out for Justice
1991-04-24,1,Dances with Wolves †
1991-04-25,1,Sleeping with the Enemy
1991-04-28,1,Oscar
1991-05-01,1,Dances with Wolves †
1991-05-02,1,Sleeping with the Enemy
1991-05-05,1,Oscar
1991-05-08,1,Dances with Wolves †
1991-05-09,1,Sleeping with the Enemy
1991-05-12,1,F/X2
1991-05-15,1,The Silence of the Lambs
1991-05-16,1,The Doors
1991-05-19,1,What About Bob?
1991-05-22,1,The Silence of the Lambs
1991-05-23,1,Misery
1991-05-29,1,The Silence of the Lambs
1991-05-30,1,Misery
1991-06-02,1,Backdraft
1991-06-05,1,The Silence of the Lambs
1991-06-06,1,Mermaids
1991-06-09,1,City Slickers
1991-06-12,1,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1991-06-13,1,The Silence of the Lambs
1991-06-16,1,Robin Hood: Prince of Thieves
1991-06-19,1,The Silence of the Lambs
1991-06-20,1,The Silence of the Lambs
1991-06-23,1,Robin Hood: Prince of Thieves
1991-06-26,1,The Silence of the Lambs
1991-06-27,1,The Silence of the Lambs
1991-06-30,1,The Naked Gun 2½: The Smell of Fear
1991-07-03,1,Robin Hood: Prince of Thieves
1991-07-04,1,The Naked Gun 2½: The Smell of Fear
1991-07-07,1,Terminator 2: Judgment Day †
1991-07-10,1,Robin Hood: Prince of Thieves
1991-07-11,1,The Naked Gun 2½: The Smell of Fear
1991-07-14,1,Terminator 2: Judgment Day †
1991-07-17,1,Robin Hood: Prince of Thieves
1991-07-18,1,The Naked Gun 2½: The Smell of Fear
1991-07-21,1,Terminator 2: Judgment Day †
1991-07-24,1,Robin Hood: Prince of Thieves
1991-07-25,1,Robin Hood: Prince of Thieves †
1991-07-28,1,Terminator 2: Judgment Day †
1991-07-31,1,Robin Hood: Prince of Thieves
1991-08-01,1,Robin Hood: Prince of Thieves †
1991-08-04,1,Hot Shots!
1991-08-07,1,Robin Hood: Prince of Thieves
1991-08-08,1,Robin Hood: Prince of Thieves †
1991-08-11,1,Hot Shots!
1991-08-14,1,Robin Hood: Prince of Thieves
1991-08-15,1,Robin Hood: Prince of Thieves †
1991-08-18,1,Hot Shots!
1991-08-21,1,Backdraft
1991-08-22,1,Terminator 2: Judgment Day
1991-08-25,1,Hot Shots!
1991-08-28,1,Backdraft
1991-08-29,1,Terminator 2: Judgment Day
1991-09-04,1,City Slickers
1991-09-05,1,Terminator 2: Judgment Day
1991-09-08,1,Dead Again
1991-09-12,1,Terminator 2: Judgment Day
1991-09-15,1,Freddy's Dead: The Final Nightmare
1991-09-19,1,Terminator 2: Judgment Day
1991-09-22,1,Freddy's Dead: The Final Nightmare
1991-09-26,1,Terminator 2: Judgment Day
1991-09-29,1,The Fisher King
1991-10-02,1,Terminator 2: Judgment Day
1991-10-03,1,Terminator 2: Judgment Day
1991-10-06,1,The Fisher King
1991-10-09,1,Terminator 2: Judgment Day
1991-10-10,1,Robin Hood: Prince of Thieves †
1991-10-13,1,The Fisher King
1991-10-16,1,Terminator 2: Judgment Day
1991-10-17,1,The Commitments
1991-10-20,1,Other People's Money
1991-10-23,1,Terminator 2: Judgment Day
1991-10-24,1,The Commitments
1991-10-27,1,House Party 2
1991-10-30,1,Terminator 2: Judgment Day
1991-10-31,1,The Commitments
1991-11-03,1,The People Under the Stairs
1991-11-06,1,Regarding Henry
1991-11-07,1,City Slickers
1991-11-10,1,Curly Sue
1991-11-13,1,The Fisher King
1991-11-14,1,The Fisher King
1991-11-17,1,Cape Fear
1991-11-20,1,Drop Dead Fred
1991-11-21,1,The Fisher King
1991-11-24,1,The Addams Family
1991-11-27,1,Drop Dead Fred
1991-11-28,1,Point Break
1991-12-01,1,The Addams Family
1991-12-04,1,Drop Dead Fred
1991-12-05,1,Point Break
1991-12-08,1,Star Trek VI: The Undiscovered Country
1991-12-11,1,Hot Shots!
1991-12-12,1,Hot Shots!
1991-12-15,1,Hook
1991-12-18,1,Hot Shots!
1991-12-19,1,The Addams Family
1991-12-22,1,Hook
1991-12-25,1,Curly Sue
1991-12-26,1,The Addams Family
1991-12-29,1,Hook
1992-01-01,1,The Addams Family
1992-01-02,1,The Addams Family
1992-01-05,1,Hook
1992-01-05,1,Robin Hood: Prince of Thieves
1992-01-08,1,Point Break
1992-01-09,1,The Addams Family
1992-01-12,1,The Hand That Rocks the Cradle
1992-01-12,1,Robin Hood: Prince of Thieves
1992-01-15,1,Point Break
1992-01-16,1,The Addams Family
1992-01-19,1,Robin Hood: Prince of Thieves
1992-01-22,1,Cape Fear
1992-01-23,1,Freddy's Dead: The Final Nightmare
1992-01-26,1,Robin Hood: Prince of Thieves
1992-01-26,1,The Hand That Rocks the Cradle
1992-01-29,1,JFK
1992-01-30,1,JFK
1992-02-02,1,The Hand That Rocks the Cradle
1992-02-02,1,Hot Shots!
1992-02-05,1,JFK
1992-02-06,1,JFK
1992-02-09,1,Maledetto il giorno che t'ho incontrato
1992-02-09,1,Medicine Man
1992-02-12,1,JFK
1992-02-13,1,My Girl
1992-02-16,1,Maledetto il giorno che t'ho incontrato
1992-02-19,1,JFK
1992-02-20,1,My Girl
1992-02-23,1,Wayne's World
1992-02-23,1,JFK
1992-02-26,1,JFK
1992-02-27,1,Father of the Bride
1992-03-01,1,JFK
1992-03-01,1,Wayne's World
1992-03-04,1,The Prince of Tides
1992-03-05,1,Father of the Bride
1992-03-08,1,Wayne's World
1992-03-08,1,Cape Fear
1992-03-11,1,Medicine Man
1992-03-12,1,Father of the Bride
1992-03-15,1,Cape Fear
1992-03-15,1,Wayne's World
1992-03-18,1,Medicine Man
1992-03-19,1,Cape Fear
1992-03-22,1,Basic Instinct
1992-03-22,1,Cape Fear
1992-03-25,1,Medicine Man
1992-03-26,1,Cape Fear
1992-03-29,1,White Men Can't Jump
1992-03-29,1,Hook
1992-04-01,1,Hook
1992-04-02,1,Cape Fear
1992-04-05,1,White Men Can't Jump
1992-04-05,1,Hook
1992-04-08,1,Hook
1992-04-09,1,Cape Fear
1992-04-12,1,Sleepwalkers
1992-04-12,1,Hook
1992-04-15,1,Hook
1992-04-16,1,Hook
1992-04-19,1,Basic Instinct
1992-04-19,1,Hook
1992-04-22,1,Hook
1992-04-23,1,Hook
1992-04-26,1,Beethoven
1992-04-26,1,Basic Instinct
1992-04-29,1,Hook
1992-04-30,1,Hook
1992-05-03,1,Beethoven
1992-05-03,1,Basic Instinct
1992-05-06,1,Hook
1992-05-07,1,The Hand That Rocks the Cradle
1992-05-10,1,Basic Instinct
1992-05-10,1,Beethoven
1992-05-13,1,The Lawnmower Man
1992-05-14,1,Basic Instinct †
1992-05-17,1,Lethal Weapon 3
1992-05-17,1,The Stolen Children
1992-05-20,1,Basic Instinct
1992-05-21,1,Basic Instinct †
1992-05-24,1,The Stolen Children
1992-05-27,1,Basic Instinct
1992-05-28,1,Wayne's World
1992-05-31,1,The Stolen Children
1992-05-31,1,Lethal Weapon 3
1992-06-03,1,Basic Instinct
1992-06-04,1,Wayne's World
1992-06-07,1,The Stolen Children
1992-06-07,1,Patriot Games
1992-06-10,1,Alien 3
1992-06-11,1,Wayne's World
1992-06-14,1,Patriot Games
1992-06-14,1,The Stolen Children
1992-06-17,1,Far and Away
1992-06-18,1,Basic Instinct †
1992-06-21,1,Batman Returns †
1992-06-21,1,Blue Steel
1992-06-24,1,Batman Returns
1992-06-25,1,Wayne's World
1992-06-28,1,The Stolen Children
1992-06-28,1,Batman Returns †
1992-07-01,1,Batman Returns
1992-07-02,1,Wayne's World
1992-07-05,1,Batman Returns †
1992-07-05,1,The Stolen Children
1992-07-08,1,Wayne's World
1992-07-09,1,Sleepwalkers
1992-07-12,1,A League of Their Own
1992-07-12,1,Point Break
1992-07-15,1,Beauty and the Beast
1992-07-16,1,Batman Returns
1992-07-19,1,Point Break
1992-07-19,1,"Honey, I Blew Up the Kid"
1992-07-22,1,Wayne's World
1992-07-23,1,Batman Returns
1992-07-26,1,Point Break
1992-07-26,1,Mo' Money
1992-07-29,1,Wayne's World
1992-07-30,1,Batman Returns
1992-08-02,1,Death Becomes Her
1992-08-05,1,Housesitter
1992-08-06,1,Universal Soldier
1992-08-06,1,Point Break
1992-08-09,1,Unforgiven
1992-08-12,1,White Men Can't Jump
1992-08-13,1,Point Break
1992-08-13,1,Beethoven
1992-08-16,1,Unforgiven
1992-08-19,1,Patriot Games
1992-08-20,1,Point Break
1992-08-20,1,Lethal Weapon 3
1992-08-23,1,Unforgiven
1992-08-26,1,Patriot Games
1992-08-27,1,Tokyo Decadence
1992-08-27,1,Alien 3
1992-08-30,1,Honeymoon in Vegas
1992-09-02,1,Strictly Ballroom †
1992-09-03,1,Tokyo Decadence
1992-09-03,1,Lethal Weapon 3
1992-09-09,1,Lethal Weapon 3
1992-09-10,1,Sleepwalkers
1992-09-10,1,Lethal Weapon 3
1992-09-13,1,Sneakers
1992-09-16,1,Lethal Weapon 3
1992-09-17,1,Batman Returns
1992-09-17,1,Housesitter
1992-09-20,1,Sneakers
1992-09-23,1,Lethal Weapon 3
1992-09-24,1,Basic Instinct †
1992-09-24,1,Unforgiven
1992-09-27,1,The Last of the Mohicans
1992-09-27,1,Basic Instinct †
1992-09-30,1,Strictly Ballroom †
1992-10-01,1,Patriot Games
1992-10-04,1,Basic Instinct †
1992-10-04,1,The Last of the Mohicans
1992-10-07,1,Strictly Ballroom †
1992-10-08,1,Patriot Games
1992-10-11,1,Basic Instinct †
1992-10-14,1,Strictly Ballroom †
1992-10-15,1,Patriot Games
1992-10-18,1,Under Siege
1992-10-18,1,Basic Instinct †
1992-10-21,1,Strictly Ballroom †
1992-10-22,1,Beauty and the Beast
1992-10-25,1,Under Siege
1992-10-25,1,Patriot Games
1992-10-28,1,Strictly Ballroom †
1992-10-29,1,Beauty and the Beast
1992-11-01,1,Lethal Weapon 3
1992-11-01,1,Under Siege
1992-11-04,1,Strictly Ballroom †
1992-11-05,1,Beauty and the Beast
1992-11-08,1,Passenger 57
1992-11-08,1,Lethal Weapon 3
1992-11-11,1,Strictly Ballroom †
1992-11-12,1,The Last of the Mohicans
1992-11-15,1,Anni 90
1992-11-15,1,Bram Stoker's Dracula
1992-11-18,1,Romper Stomper
1992-11-19,1,The Last of the Mohicans
1992-11-22,1,Anni 90
1992-11-22,1,Home Alone 2: Lost in New York
1992-11-25,1,Sister Act
1992-11-26,1,Single White Female
1992-11-29,1,Fried Green Tomatoes
1992-11-29,1,Home Alone 2: Lost in New York
1992-12-02,1,Sister Act
1992-12-03,1,Sister Act
1992-12-06,1,Home Alone 2: Lost in New York
1992-12-06,1,Beauty and the Beast
1992-12-09,1,Sister Act
1992-12-10,1,Death Becomes Her
1992-12-13,1,A Few Good Men
